Sentence,Word Count
"Jungle diff? Maybe. Maybe not. Lee Sin blamed the ADC. ADC blamed support. Support was AFK since level 3. Nobody really knew what happened top. Nasus just kept farming. 400 stacks, 500… 600. “Late game, guys.” But late game never came.",41
"“Darkness is a harsh teacher,” sagde Kayn, mens han gled gennem væggen og ramte Jinx med sit ult. Hun lo. Hun lo altid. ""Rules are made to be broken... like buildings... or people.""",33
"Botlane var et kaos. Morgana ramte alt. Eller intet. Afhængigt af hvem du spørger. Lucian dived under tårnet med 10 HP, slap væk, skrev “diff” i chat. Ekko kom for sent til lane. “Sorry, had to leash.”",37
“DEMACIA!” – endnu engang. Garen muted alle og fortsatte med at splitpush'e. Ingen teleports blev brugt i tide. Baron blev startet af accident. Sett prøvede at smite. Han havde ikke smite. Support smited. Baron overlevede.,35
Top var en ødemark. Malphite farmede med E. Fiora dansede rundt om ham som en skygge. Han ramte level 6. Hun havde allerede en killstreak.,25
"Anivia væltede rundt i midten, hendes væg blev ved med at blokere hendes egen jungler. “Nice wall,” skrev nogen. “Reported,” svarede hun.",22
"Objektiver? “We don’t need drake, we need kills.” Og kills kom. 43-42. 22 minutter. Ingen inhibitorer. Men alle havde 3 items. Ingen wards.",23
"“Why are we losing?” – spurgte en spiller, mens han 1v5'ede i modstanderens jungle. Han havde ikke set minimap hele spillet. Lux havde 37 vision score. Resten? 2. Måske 3. Who needs vision when you have faith?",37
Senere… Elder spawnede. Teamet grouped. For første gang. Ultimates blev brugt. Nogen flashede ind – måske på en minion. Kameraet zoomede. Nexus sprang.,23
"Victory? Nej. Defeat. Men GG anyway. “Fun game,” skrev én. “Uninstall,” skrev en anden. Rapport blev sendt. Honour blev givet – til Teemo, selvfølgelig.",24
Nyt game. Ny draft. Samme problemer. “Jungle or feed.” “Mid or I troll.” “Autofill support.” “Let’s invade.”,17
Og så begynder det igen. Minimap pings. Caps lock. Lag undskyldninger. “Dog walked on keyboard.” “GF called.” “Microwave exploded.” Classic Summoner’s Rift.,22
"Der er ingen morale. Der er bare 5 spillere, 5 fjender, og en konstant strøm af kaos. Og måske, bare måske, får nogen en pentakill. Eller disconnecter.",27
League of Legends. Det er ikke et spil. Det er en tilstand.,12
